,Unnamed: 0,length_3d,max_elevation,uphill,moving_time,difficulty,min_elevation,downhill
mean,6048.445660907995,13.38283656052225,1926.229652055246,992.409410611662,0.17427652931529952,2.8886098834873444,1017.7743241240331,938.9280154748924
std,3545.075880379668,6.846982981333756,755.6360275967758,508.18345544892657,0.07292677935778788,1.1549673628811723,556.674076960838,543.782998895183
